,mean,std
0,-30.849416614345927,1.1824311280180226
1,-31.94253778320217,1.875570778929276
2,-32.719812885604824,2.0728794873863072
3,-32.74313532919124,1.9348721328812621
4,-34.20442037797769,2.4746299566166914
5,-35.53774046654422,2.6033368877815337
6,-34.57029233683884,2.1254272029017036
7,-35.131168711818894,2.9517837618178677
8,-35.23155230330243,2.4068353015399016
9,-35.84264333438632,3.080812994978886
10,-35.42795355434146,2.0977921412955407
11,-36.06846869923672,2.801034486609536
12,-36.51679895369216,2.376542348654588
13,-36.56417705406664,3.031855705091965
14,-36.25802736485097,2.8410591563066214
15,-35.84026821885193,2.716986069819793
16,-35.29672491815261,2.3473409510554717
17,-34.45608498043519,2.0937278367921337
18,-34.52889019028538,1.7844092935752776
19,-35.856908078162576,3.1633589825688295
20,-34.899183663721956,2.541189181736826
21,-34.34837737190371,2.220353046250465
22,-34.45367852529537,2.1850558934654414
23,-33.66605538555499,2.0776782167541343
24,-31.638829313227134,2.5816890261328855
25,-31.219012208152165,2.4140383767133975
26,-32.40630796856186,3.1196265028562564
27,-32.493858804640816,2.2403602921260046
28,-32.67506005250796,2.1704710557099047
29,-32.92787292954091,1.7513886326785866
30,-33.57367369875176,1.9416896360474558
31,-33.73889435845213,2.578021405850612
32,-32.01427478032011,2.4185492601216905
33,-31.76120996229807,1.7861391774914295
34,-32.4851791368486,2.0807109508314747
35,-31.577984006653722,2.453684940656329
36,-32.04791334164373,2.5206185789750766
37,-32.679693244016434,1.905639753939406
38,-34.20022450800264,2.500715628054915
39,-34.307134749356244,2.5211219678369203
40,-34.39718810278791,2.3171500312290614
41,-36.7696193587871,2.7255842894126583
42,-34.894151510335405,2.142791515416028
43,-35.477198424761006,2.7015892456128534
44,-35.77020258520064,2.5023028707070814
45,-34.67690815623939,2.593136554629362
46,-35.4985401269538,2.6389855015273547
47,-35.52194677300279,2.7476912282668784
48,-36.175629369960916,2.3854708856401174
49,-36.232095206084715,2.854999983447648
50,-36.61279488150943,2.809598280313546
51,-35.82219746476099,2.893317507157994
52,-34.865160957623004,2.9916614257219027
53,-34.39999017984581,2.4892748954357264
54,-34.882838375190495,2.0786239868786525
55,-34.492320114146466,2.49063170436047
56,-33.3809409863242,1.5344175281307544
57,-32.0438198386817,1.6680956302456997
58,-30.48552947744781,1.188488180058712
59,-29.39214908358161,1.0637449583062477
60,-29.011845581353825,0.9074449629713623
